d_page	han	count	roman_raw	code	tone	tone_src	sni	raw
403	遂	3	hong	hong5	5	十五音聲調	下平	"7-3-3159 遂0003 hong"" 2-36 公喜下卒hong"
403	蒙	14	bong	bong5	5	十五音聲調	下平	"1-321 蒙0014 bong""# 2-35 公門下至bong"
403	濠	1	bong	bong5	5	十五音聲調	下平	"7-2-7055 濠0001 bong""# 2-35 公門下卒bong"
403	蠔	1	bong	bong5	5	十五音聲調	下平	"7-3-2268 蠔0001 bong""# 2-35 公門下平bong"
403	薪	1	bong	bong5	5	十五音聲調	下平	7-3-3693 薪0001 2-35 公門下平bong
403	束	61	tong	tong1	1	十五音聲調	上平	"1-186 束0061 tong""# 2-18 公地上平tong"
403	辣	1	tong	tong3	3	十五音聲調	上去	"7-1-68 辣0001 tong""# 2-26 公地上去|tong"
403	通	34	thong	thong1	1	十五音聲調	上平	"1-393 通0034 thong""# 2-19 公他上卒thong"
403	同	109	tong	tong5	5	十五音聲調	下平	"1-318 同0109 tong""# 2-33 公地下平tong"
403	櫚	14	tong	tong5	5	十五音聲調	下平	"6-13-1533 榈0014 tong""# 2-33 公地下平tong"
403	童	16	tong	tong5	5	十五音聲調	下平	"1-1143 童0016 tong""# 2-33 公地下平tong"
403	銅	6	tong	tong5	5	十五音聲調	下平	"7-1-3464 铜0006 tong"" 2-33 公地下平tong"
403	瞳	2	tong	tong5	5	十五音聲調	下平	"7-2-5196 瞳0002 tong""# 2-33 公地下卒tong"
403	侗	1	tong	tong5	5	十五音聲調	下平	5-8-431 侗0001 tong.. 2-33 公地下卒tong
403	全	1	tong	tong5	5	十五音聲調	下平	"7-3-2410 全0001 tong""# 2-33 公地下平tong"
403	公	260	kong	kong1	1	十五音聲調	上平	"1-441 公0260 kong""# 2-17 公求上卒kong"
403	功	38	kong	kong1	1	十五音聲調	上平	"1-1227 功0038 kong""# 2-17 公求上平kong"
403	攻	13	kong	kong1	1	十五音聲調	上平	"6-9-2298 攻0013 kong""# 2-17 公求上卒kong"
403	空	17	khong	khong1	1	十五音聲調	上平	"5-11-484 空0017 khong""# 2-18 公去上平khong"
403	控	2	khong	khong1	1	十五音聲調	上平	"5-8-436 控0002 khong""# 2-18 公去上平khong"
403	蔓	1	cong	tsong1	1	十五音聲調	上平	7-4-2367 蔓0001 cong 2-19 公上卒|cong
403	匆	2	chong	tshong1	1	十五音聲調	上平	"7-3-2056 匆0002 chong""# 2-20 公出上卒chong"
403	慈	1	chong	tshong1	1	十五音聲調	上平	"7-2-1837 慈0001 chong"" 2-20 公出上卒chong"
403	聰	6	chong	tshong1	1	十五音聲調	上平	"5-16-620 聪0006 chong""# 2-20 公出上平[chong"
403	薇	2	chong	tshong5	5	十五音聲調	下平	"6-7-1104 薇0002 chong"" 2-34 公会下平cong"
403	洪	7	hong	hong5	5	十五音聲調	下平	"2-7 洪0007 hong"" 2-36 公喜下卒hong"
403	虹	4	hong	hong5	5	十五音聲調	下平	"7-4-4499 虹0004 hong""# 2-36 公喜下平hong"
403	鴻	7	hong	hong5	5	十五音聲調	下平	"7-2-1371 鸿0007 hong""# 2-36 公喜下卒hong"
403	瑞	1	long	long5	5	十五音聲調	下平	"7-3-3406 瑞0001 long""# 2-32 公柳下平[ong"
403	崇	14	cong	tsong5	5	十五音聲調	下平	"6-4-2429 崇0014 cong""# 2-34 公會下平cong"
403	風	60	hong	hong1	1	十五音聲調	上平	"1-465 風0060 hong""# 2-21 公喜上平hong"
403	樓	1	pong	pong1	1	十五音聲調	上平	"7-1-2700 楼0001 pong"" 2-21 公喜上平hong -h"
403	中	196	tiong	tiong1	1	十五音聲調	上平	"6-9-2212 中0196 tiong""# 3-48 恭地上卒tiong"
403	忠	43	tiong	tiong1	1	十五音聲調	上平	"1-312 忠0043 tiong""# 3-48 恭地上李iong"
404	衝	6	chiong	tshiong1	1	十五音聲調	上平	"7-2-1543 冲0006 chiong""# 3-50 恭出上卒chiong"
404	弓	20	kiong	kiong1	1	十五音聲調	上平	"5-6-14 弓0020 kiong""# 3-49 蒸求上卒kiong"
404	鄂	12	kiong	kiong1	1	十五音聲調	上平	5-20-17 鄂0012 3-49 恭求上平kiong
404	彎	2	kiong	kiong1	1	十五音聲調	上平	"7-1-190 弯0002 kiong""# 3-49 恭去上卒khiong -kh"
404	第	33	kiong	kiong5	5	十五音聲調	下平	"1-180 第0033 kiong""# 3-59 恭求下卒kiong"
404	路	56	ciong	tsiong1	1	十五音聲調	上平	"1-339 路0056 ciong""# 3-50 恭鲁上卒ciong"
404	鑫	1	ciong	tsiong1	1	十五音聲調	上平	"7-2-431 鑫0001 ciong"" 3-49 恭鲁上卒ciong"
404	充	29	chiong	tshiong1	1	十五音聲調	上平	"4-299 充0029 chiong""# 3-50 恭出上平chiong"
404	雄	24	hiong	hiong5	5	十五音聲調	下平	"1-912 雄0024 hiong""# 3-61 恭喜下卒hiong"
404	熊	6	him	him5	5	十五音聲調	下平	"6-11-1622 熊0006 him"" 1-53 金喜下卒him"
404	隆	3	liong	liong5	5	十五音聲調	下平	"7-1-146 隆0003 liong""# 3-59 恭柳下卒[liong"
404	戎	10	jiong	jiong5	5	十五音聲調	下平	"7-1-4167 戎0010 jiong""# 3-60 恭入下卒jiong"
404	嵩	3	siong	siong1	1	十五音聲調	上平	"7-1-923 嵩0003 siong"" 3-50 恭時上卒siong"
